	2562
László Neumann	24140
Natasha Sharopova	79617
Masao Shimizu	33458
Tor Berger	338
Robert J. Baxley	133042
Christian Jacobi	117799
Romain Alleaume	145231
Shameek Biswas	35113
Christian Komusiewicz	117420
Ansgar Weißler	121615
Xuegang Hu	67339
Pierre Grenon	90658
N. Wayne Porter	155955
Yoshiaki Taniai	68545
Damien Zufferey	155169
Ahmed Hemani	41807
Qiang Xu	156200
Mi-Young Kim	145674
Feifei Huang	61130
Francesca Gasparini	45721
George B. Bourne	26653
Volker Pohl	19623
Franck Pellissier	107739
Krzysztof Giaro	116745
Richard E. Glor	84525
Suhail A. Islam	102854
Albert H. Proctor	47296
Johannes Rainer	81710
Jiazhi Liang	51996
Markus Krummenacker	79500
Adam R. Tindale	12880
David Gadoury	39966
Yong-Dian Jian	4064
Anatoly T. Teriokhin	98729
John D. Watts	162687
Sultan Yamak	57854
Daniela Iacoviello	456
Gunwoong Lee	52845
Ricardo Chavarriaga	42869
Kris Tiri	146369
Tsung-Jung Wu	160269
Farhad Faghani	139224
Magnolia Vanegas	104052
Susan Wiedenbeck	71252
Attoor Sanju Nair	2352
Samuel P. Dickson	89841
Zhifeng Diao	131779
Kimmo Varpaaniemi	118210
Abdelouahab Bentrcia	23076
Joonwoo Jeong	82527
Paul Sage	138078
Frank Kunst	76963
Jamie L. Reed	44114
Yuichi Aiba	84195
Alan T. Krantz	156113
Kuo-Wei Lin	113436
Chirag K. Rupani	139257
Dan Zetu	108709
Jens Hollunder	83218
Hanafy Meleis	139766
Jonathan Billington	137070
R. E. Crossley	45396
Maha Shadaydeh	22932
Richard J. LeBlanc	152780
Willem de Haan	106737
L. Stephen Yarberry	118597
Yuan Rao	129658
Dusanka Janezic	87784
Martin Näf	37967
A. A. Tadaion	19875
Luc Masset	9571
Nicolas Tremblay	162621
Michel Morvan	120617
Jari H. Iinatti	131358
Yiu-Chung Wong	117650
Chi-Yen Huang	46040
Chih-Shun Hsu	127760
Marta Recasens	37330
Thomas Schüle	122185
Kanupriya Tewary	148364
Jan Stolk	114429
Wenqing Zhao	82521
Mohammad N. Patwary	157390
L. L. Cheng	143229
Yih-Tyng Wu	49013
Philippe Gaborit	121297
Jean Hitchings	144025
Alexandra Czarlinska	12409
Steffen Wallner	27876
P. Scott White	81511
Peilin Liu	13156
Robert S. H. Istepanian	111548
Isao Shiraishi	113959
Gerald Corzo	43417
Roberto Rojas-Cessa	137953
Ioannis A. Tsoukalas	72276
Dan Liang	32614
George Chryssolouris	53138
P. Eline Slagboom	90787
You Jung Kim	85710
W. Zhuang	157606
Pietro Cipresso	67319
Michel Jourlin	49622
Ge Zhao	62714
Craig Luccarini	97388
Alain Jean-Marie	123153
Ming-Huang Guo	135592
Cédric Fournet	145172
Asutosh T. Yagnik	76305
Martin Koerwien	120093
Carlos Molina	14174
Melinda Földvári	23588
Christoph Fünfzig	9677
Yevgen Biletskiy	54977
Sebastian Draxler	70580
Francesco Bellotti	73372
Zhaoqian Li	27924
Didier Piau	94676
Hongming Li	138602
Pawel P. Labaj	100759
Wing Ning Li	121729
Leonidas G. Kotoulas	3694
Ken Hauck	116448
Tony Zhang	38195
V. V. Smirnov	65014
Christopher Henry	53980
Paul Gauthier	125657
Chirasil Chayawan	134237
Les Farnell	63455
Amir Leshem	64903
Susan Wyche	70576
Isaac Rudomín	11358
Qinghong Li	80727
Anurag Ganguli	108508
Mercedes Pascual	103722
Sisi Xuanyuan	27922
In-Il Kim	7790
David J. Broad	15142
Sheau Ng	75165
Loukas Moutsianas	85973
Pia R. Pfluger	10371
Jonathan Wareham	52963
Kilian M. Pohl	114939
Anita Kruckenberg	15238
T. Chakravarty	154688
David M. Rankin	131619
Michael Chertkov	35685
Aleksander S. Popel	103419
Priya Vashishta	153682
Joy P. Ku	112406
Andy Adler	71115
Herman Midelfart	95897
Harjeet S. Bhabra	30526
W. M. H. M. Rovers	118062
Marek Blazewicz	98595
André Titli	55584
Gísli R. Hjaltason	59383
Yi Chun Pai	6161
Yan Leng	61079
Ulrich Büker	64057
Markus C. Schlumberger	98907
Kuo-Ming Chao	27500
Adelailson Peixoto	25254
Paolo Predonzani	148022
Leigh Tesfatsion	51044
Maria Kihl	139819
Oscar Ortega	141751
Ji-Ming Guo	122872
Nazmun Nahar	29591
Li D. Xu	52283
Göran O. Sperber	97615
Shulin Ni	94267
Joseph McQuown	83441
Les Clyne	125744
Ingo Gaspard	158893
Ahmed Mehaoua	127072
Elena González	61464
Daniel Adelman	119660
L. R. Crane	112433
Richard Y. Hertzberg	126350
Jun Zheng	3180
Kevin Lerman	98058
Anna Queralt	151641
Ryszard Smarzewski	10700
Evan W. Steeg	39453
Brenden Wong	160010
Maurizio Naldi	52854
Steve Jones	70196
Jitendra Kumar Maheshwari	81377
Jan Koch	145581
Fanqin Yang	9649
Enno Ohlebusch	84703
Adam Smith	117551
Gordana Apic	105725
Xiaoxiao Hou	142413
Naeem Seliya	146572
Federico Girosi	67923
Hua-zhen Wang	97654
Pedro Martín	16506
Cheng-Ming Weng	136207
V��ctor Vi?als	155483
Anne M. Denton	95401
Per Svensson	110989
H. Park	2371
A. Homayoun Kamkar-Parsi	157264
Scott A. Venckus	152751
David Raymer	156238
Nicholas Fusseder	94102
Li-wei He	12230
Michael Dorfling	121186
Hitoshi Imaoka	67980
Canhui Ou	127581
Robert Beck	20185
Elena Tsiporkova	77202
Emma J. Cooke	100823
Thilo Kielmann	86683
Martin Hell	146361
M. Ranucci	14616
Saher Esmeir	35884
L. Bonde	70123
John E. Kobza	147730
Huynh-Hoa Bui	92613
Yaser A. Bishr	31357
Zhaocheng Wang	133883
Tassio Vale	152453
I.-Hsum Li	57900
Jinzhi Xiong	60791
M. C. M. Bakker	27503
Noah A. Rosenberg	84186
Jong Sung Yoon	9037
Jonathan Grudin	71496
Tzu-Shiang Lin	158197
Antonio Ulloa	43002
Dieter Boss	22737
Wolfgang Gerlach	78000
Kuo-Hsien Hsia	56169
M. Nicolaides	164325
Eugen Zalinescu	124558
Salvatore Di Gregorio	161057
Xiaoping Yang	23190
Steve R. Wilbur	135953
Lex Wolters	155391
Ana Villa	74395
Takashi Chikayama	162636
Oakley H. Crawford	77196
Cristian Tapus	152988
Yi-Chun Liao	56745
Patrick Luyima	43525
Arup Mukherjee	162779
Elemér E. Rosinger	40632
Xuan Gong	133151
You-Shyang Chen	66110
Thomas A. Cargill	147810
Jochen Schiewe	31818
Jason Gertz	78005
Lennert Sloth	126236
Shu-Chen Jiang	53076
Wei Ke	110704
Peter J. Burt	33934
Warit Silavisesrith	32913
Johannes Hjorth	65024
Jie Lai	131901
Wang Chao	124043
Wei Ku	94443
Max Giordano	9686
S. Seshadri	29150
Jean-Philippe Meyniel	84745
Mike Pagel	39548
Stephen Crane	150836
Wei Zhao	4379
Rajni Nigam	102818
Catherine Winder	100101
Chun-Hung Chen	108658
Armita Nourmohammad	102118
Hans-Anton Rollik	120365
Rosario Giustolisi	144748
Andrei L. Lomize	79875
Lingqi Zeng	157233
Sudeshna Sarkar	61956
Xiangjiu Che	10120
K. Bretonnel Cohen	37353
Liwen He	144590
Mark P. Donnelly	72810
B. Eswara Reddy	62762
Reid R. Harrison	67966
Guy Haskin Fernald	90038
Meike Wagner	106727
Helmut Bölcskei	395
Andreas Polydoros	131139
Barbara Holländer-Thönssen	31133
Manuel Mejías	150757
Peijian Wang	110721
Jaume Rigau	4509
Seung Pil Jeong	10678
Nikolaos A. Pantazis	142664
Manuel João Costa	103222
Bao Rong Chang	56939
Nicolas A. Gillet	90989
Emrah Düzel	43645
E. Florian	22143
Anne Goelzer	91949
Ian Gorton	135143
Cécile Ané	88388
Erik Ulfhielm	102454
Mark L. Huson	140502
Dong-You Choi	74196
Jin Chen	66037
Sophie Lemoine	85792
Hyunyoon Yun	149586
Adam Baldwin	95614
Peter K. Jimack	161699
Mónica Pinto	151066
Richard A. Lee	79574
Magdi S. Mahmoud	18598
Theodore Kotsilieris	136380
Emilia Entcheva	96473
Rohith Dwarakanath Vallam	140935
Li Qinghua	56509
Manabu Takano	60391
Yan Chen	5332
Wajih Bou Karam	9479
Bob Kemp	71477
Won-Ki Jeong	10932
Malcolm Matalka	101062
K. Brooks Reid	122146
Srinivas Ramanathan	135273
Felix Wong	160586
John A. Marchant	37961
Kaspar Riesen	49830
Hai-Ri Li	93998
John Pinkston	125065
Carlos Martinho	73677
Yana Yunusova	16320
Shasha Mao	50174
Ann Vandevelde	118868
Gokul B. Kandiraju	163669
M. E. Goddard	92028
Raymond Phan	38664
Gerd B. Müller	77127
Richard Baran	94278
Oladele Owodunni	8752
David W. Gatchell	77090
Mark Green	152748
Min Xiang	150284
Martin Tymms	91239
Xi Shen	65357
C. C. Gotlieb	58365
Andrew J. Parker	13774
Ignacio Llamas	26952
Salvatore Aurigemma	52994
Uwe H. Sauer	84987
Yi Long	133577
Patrick Shen-Pei Wang	46083
Saeed Salem	61533
Angelina Vidali	117199
Rui Wang-Sattler	97663
Napsiah Ismail	57543
Ashley L. Buice	114096
Arzhan Kinzhalin	156341
Samir B. Amin	100365
Gary P. Trio	149515
Martin Buss	24672
Jie-Bin Yang	9944
J. G. Griffiths	7298
A.-M. Patch	76581
Ahmed El-Sayed El-Mahdy	157172
Rikard Alm	77945
Baoxian Zhang	129776
Marco Ramoni	39618
Yunji Chen	6407
Yongjoo Cho	25289
Chun Li	81931
Kamal K. Gupta	23537
Pawel Malysz	108159
Laszlo Havasi	3724
Satoru Igarashi	46226
Alice Yi Chou	106089
Nizar M. Tannir	92234
Pierre Leleu	119772
Giorgio Lucarelli	124141
Dong Cui	44075
Shadnaz Asgari	113649
Thore Husfeldt	115619
Haifeng Zheng	134742
George Kollios	39728
A. V. Bronnikov	58893
Charles Lenay	72084
Peter Glaus	91882
Xiaojun Wu	25117
G. Song	157756
Fu Zhang	57912
William Ritchie	84974
Weichen Ye	158690
Patrick Rault	11801
Neeraj Suri	146999
Corneliu Henegar	84429
Kazuhiro Shirakawa	75559
Gwen Salaün	69805
Yukihiro Kamiya	158833
Takuya Katayama	151747
Peter H. Barnett	23409
Ingrid Mihai	85673
Shimon Ullman	33667
Gyula A. Magó	142099
Ian J. Majewski	91968
Georgios S. Vernikos	82945
Verónica Medina	114687
Hyunseok Kook	46363
Kazutaka Kani	46255
Anna Y. Lee	97283
Theocharis Antoniadis	115189
Rajeev K. Varshney	98253
Eva Besada-Portas	107646
Thomas Thomson	100181
Marcela Hernández Hoyos	114658
Dilip Kumar	138640
Michael Spitzer	81587
Veysi Isler	6692
Francis C. Weng	90127
Alan S. Ferrency	152697
Nicolas Guézé	20383
Tom Vercauteren	114624
José I. Alonso	140747
Markus Stumptner	55203
Yi Liu	34391
Terence Soule	36353
J. Nechvatal	149002
Yu-Ping Chang	21626
Edgar A. Martínez	112267
Svante Ekelin	129330
Yi Lin	39502
Diogo F. C. Patrão	93868
Brandon D. Gallas	43542
Giuseppe Della Penna	149077
Yong Yi	107565
Tae Won Cho	142338
W. Clem Karl	96
Luca Gambineri	84395
Michal Etzion	27127
Oliver Cossairt	6312
Elena Sánchez-Nielsen	50631
Pawan Chaturvedi	115103
Fusheng Wang	73001
Carla Di Cairano-Gilfedder	138886
Petros Maniatis	145858
Zachariah K. Zachariah	94877
Patrick D. Roberts	64334
Burkhard Rost	77638
Hanan Lutfi Lutfiyya	136029
Avi Elisha	139010
Frances Yu	61915
Dimitrios Ververidis	13529
Masashi Sakai	14087
Niamh C. Nowlan	104323
David Lancaster	153577
Nina Zhou	94769
Shilpa Satish	157062
Dmitry G. Dolgikh	125884
Christoph Voges	158661
Watcharapan Suwansantisuk	133106
Ankita Bhan	91381
Andrey Kislyuk	88011
Nick Feamster	142256
Lazaros Papadopoulos	150226
Miguel A. L. Nicolelis	69009
J. J. Pancrazio	77440
Lawrence M. Rudner	37144
Hsiang-Chieh Chen	21169
Janis P. Y. Wong	26835
Henrique Cavadas	157018
Szilveszter Nádas	136311
Andreas Buness	76664
Shaolei Ren	133604
Kristine E. Matthews	2103
Mario Nicodemi	98829
Simon S. Lam	125322
Kamel Tourki	133904
Tarik Rashid	53880
Yuming Fang	6135
Ievgen V. Bondarenko	17831
Peter Farkas	159725
Suvrit Sra	35151
Tommi A. Junttila	124542
Mauro Falcone	14923
A. Florian	16902
K. Yamazaki	8530
Mandy Krumbiegel	99871
M.-C. Frank Chang	164107
Omid Bushehrian	147184
Xionghui Zhou	8853
Marina Ruggieri	74906
Weibin Shi	140546
Serge Chaumette	139495
Zhitao Xiao	60590
Sagar Shah	10206
Stefan Livens	48132
Joel W. Branch	138341
Radu Dobrin	92767
E. N. Sarafis	56531
N. Oikonomou	112885
Dianne P. O'Leary	37343
Atsuo Inomata	145356
Joan Batlle	44846
Dario Comanducci	38799
Zheng Pan	79804
Donghai He	118953
R. F. Eilbert	45554
K. Kröplin	119972
Han Shu	13692
Andreas Held	45959
Deepak Chandran	86870
Xuelong Li	3555
François Fages	76726
Stephen J. Krotosky	38264
Alex Nicolau	43834
Ian N. Robinson	12923
Mingqing Zhai	122587
J. Pfeifle	17263
Gift Nyamundanda	100044
Boaz Ben-Moshe	28474
Craig W. Fisher	29900
Abu S. Reaz	129956
Liang Wan	12671
Kyung Sup Kwak	131959
Tetsutaro Uehara	145360
F. Laterza	20159
Julio Ibarrola	43698
Laura Langohr	100890
Nicholas Paul Sheppard	138175
François Vaillant	88381
Les L. Miller	148937
Yi Hong	25067
Dominik Spinczyk	54901
Chris Calabro	117556
Aaron Williams	115882
Alan M. Frisch	54197
Brian Hirano	163675
Adelein Rodriguez	36617
Yechen Li	110677
Paul M. K. Gordon	83502
Michael Falk	94511
Chenggui Zhou	99438
Yoshitaka Yamamoto	40121
Josep R. Casas	2567
Huina Mao	51294
Gabriel M. Leung	105125
Hang Zettervall	90328
István Orci	143925
Princely Ifinedo	144784
Krys Kochut	29007
Takashi Koiso	110820
Lajos Hajdu	59238
Vincenzo Manca	40517
Leyla J. Garcia	90144
Alexander N. Cartwright	48521
Jeremy Austin	96786
M. Panayotou	43217
William T. Hsu	90252
Jordi Vidal Rodríguez	81120
Josep J. Centelles	81486
Cesare Alippi	44330
Maher Ali	125051
Todd Jackson	155055
Jeffrey V. Nickerson	47131
Carlos A. Hernández	38559
Erik McDermott	14134
Apostolos Papanikolaou	9493
Michael Breakspear	63087
Andrea Polini	150017
Karyn Duggan	101508
Sridhar Pammu	47300
Taehwan Choi	140209
Ziliang Zong	132393
Andrew Shepherd	71792
Alicja Wojtczuk	72409
Sara Moftah Elrabiei	130556
Frank J. Bruggeman	104893
Burak Bayoglu	130265
Jari Kortelainen	57110
Mário Macedo	129175
Yau-Tarng Juang	18897
Sverre Holm	19486
A. Tsalpatouros	112303
David Shur	73104
Martin A. Tanner	41880
Mike Fainzilber	103888
Tony Clark	124420
James Z. Wang	34558
Kim Steenstrup Pedersen	33313
Jacob Illum Rasmussen	118290
Lantao Qi	140535
Olivier Colot	57617
Mohammad Sajjad Hossain	97534
Robert W. P. Luk	150791
Robert M. MacCallum	79936
Huilin Xiong	3164
James T. Klosowski	161216
Xiaofan Lai	53319
Gunilla Westergren-Thorsson	93366
Wen-Tzong Lee	8953
Ibrahim El Rube	48752
Kate Moore	31409
Sumeer Bhola	146047
Marc Bernard	49077
Uday Thangarajah	27702
Olivia M. Carducci	120524
Joseph Garman	58439
Laura S. Inouye	96107
Gordon S. Blair	70386
D. Orpen	58034
Amelie Hössjer	70502
Yu Dong	128200
Hans Kamp	44063
James R. Warren	71904
Y.-X. Lin	76672
C. Jane McGlade	98228
Kousuke Hanada	87651
Tommaso Melodia	128069
Prasanta K. Panigrahi	60844
Frédéric Nicolier	49073
Hironobu Nakamura	114552
Jean-Luc Danger	157690
David B. Neale	86938
Tahsin M. Kur?	153463
Buzz Baum	105413
Laxmi Parida	8086
Yong Guo	61726
Carlo Teubner	105099
John Baillieul	75083
Netta Iivari	71555
Jaideep P. Sundaram	88184
Fernando Ferri	28690
Rodolfo Kohn	156342
Juan G. Cornejo del Carpio	106243
Aditya Agrawal	151550
Guoqiang Hu	108987
Jingsen Chen	116999
Yuping Qiu	142181
Kazutoshi Sasahara	51104
Wen Fang	48702
Bernard Robertson	144232
R. S. Harris	31797
Umberto Ferraro Petrillo	117155
Stefan Kupferschmid	118466
R. S. Lu	108300
James R. Snapper	42638
Xiangru Li	34370
Mimi Liljeholm	63979
Hans R. Hotz	101473
Gita Alaghband	154242
Michael A. Malcolm	126894
Frank Eisenhaber	77207
Mohamed Elkadi	10640
O. Kießlich	77172
Marie Lalire	120091
Martial Sankar	89179
Alessandro Cappelletti	74307
Angela L. Chiu	139705
John D. Ferguson	44557
Daniel Birnbaum	90819
Hojjat Adeli	6524
David E. Patterson	55372
Chi-kin Lee	155421
Didem Kivanc	134187
Cheng Peng Woon	147846
J?rg D��mmler	156395
Artemis A. Koutsorodi	140683
Mark Dras	55259
David Z. D'Argenio	87785
José Ignacio Alvarez-Hamelin	130401
Fahed Hameed	133279
Bryan S. Biehl	86591
Han Xu	85371
Stephan Rupp	137942
XiaoRong Xu	109933
Yi-Sheng Yao	3249
Joseph Manning	121958
Timothy Lethbridge	146630
Bryan Brancotte	89092
Naoto Tanaka	94931
Ryan Hayward	16994
Zsuzsanna Lipták	84654
Manu Bansal	4167
Birgitta Geier	77990
Avraham Margalit	59917
Surendra Kumar	98803
St��phane Genaud	153286
Viswateja Nelakuditi	88016
Eric Bardinet	37476
Rod Fatoohi	155396
Deepak Cherian	135265
Zezhong Wu	57300
Chad W. Euler	102952
Yuanguo Bi	133327
Dhiren Patel	154743
Dan Zhu	52941
Jiazheng Shi	2730
Ir McChesney	152091
David M. Lin	82480
Shijin Li	59344
Bauke de Vries	111433
Saragur M. Srinidhi	135411
Guangming Lu	48438
Naoki Abe	36838
Li-Ching Ma	52720
David Zamar	86550
Tetsuya Izumi	19671
Seung Kwon Ahn	64754
Gang Hua	5358
Yasuyo Kita	37838
Michail M. Kounelakis	113813
Marcus J. Claesson	77036
Yo Han Ko	158062
Robert J. D. Reid	99122
Yohan J. Roh	53431
Vitomir Struc	143430
Evan E. Anderson	144384
Pierre E. Schmid	145047
Ingo Kennerknecht	44277
Uwe Berner	26620
Jianrong Dong	123929
Junyong Park	35458
Chee Wai Chan	65773
Gerd Wübbeler	60918
Zhichang Guo	5801
Matthew B. Stocks	91790
Hayden Melton	146851
L. Guan	1229
Derek G. Cramp	111795
Joe Faith	83034
Zhefu Shi	141150
Valery Afanasiev	24434
Safaa Jarifi	14257
Thierry Priol	6673
M. Emre Celebi	49958
Lei Bu	110610
R. Vijay Kumar	107650
J. G. Harp	162323
M. Holtmann	46481
Kuo-Sheng Cheng	48456
Jae-Ung Yun	61511
Giorgio Mattana	113665
Fawnizu Azmadi Hussin	156536
Henk D. L. Hollmann	121593
Robert V. O'Neill	31859
Kenji Terada	51648
Vladimir Braverman	115915
Chiara Epifanio	122623
Ho-Ting Wu	129470
Chrissavgi Triantafillou	23205
Yoshiki Nishioka	15747
Giorgos Sarailidis	6090
Haohao Wang	10713
Michael Dahlin	137138
Massimiliano Meli	104084
Saso Stojanovski	126103
Wijnand A. IJsselsteijn	71644
Guangwu Liu	57131
Carl Martin Allwood	71160
Moustafa AbdelBaky	113458
Jakub Stastný	19936
Robert Krovetz	675
Thomas P. Trappenberg	42849
Jennifer Berger	92338
Patricia W. Pan	83108
Geir Westgaard	10550
Oliver Werner	3107
Mauricio Correa	50492
Jilin Tu	4209
R. Gray	113896
Jianwei Zhao	67258
Nicholas A. Patronik	108127
Yunming Huang	1419
Juan Manuel González Nieto	145649
Jasna Maver	46565
Yacine Oussar	35054
Paul L. Butzer	21386
Eric Boussard	42598
Xiaoyong Yan	66391
Hubert Y. Chan	41327
Emerson Cabrera Paraiso	69733
B. D. Van Veen	132007
Wenjie Wang	109507
G. Deng	861
James K. Hahn	26831
Shmuel Gal	44904
Peiliang Wu	70685
Yu Han	5837
Zhiyong Shen	86318
N. Lompré	70170
Michaël Soulignac	108875
Aldo Solari	90007
Edward O. Belcher	1560
Maryam Purvis	69900
Samy A. Mahmoud	127372
Jitao Wu	62305
Yoko Shinbo	92531
Guisseppi A. Forgionne	29509
K. Y. Sim	145551
Francesco Vacirca	125684
K. W. Sum	48597
Sara Estlander	74158
Luis F. Caro	129052
Komei Fukuda	16469
Yang Dai	93276
Alain Celisse	97311
Je-Keun Rhee	98010
K. Padmanabhan	60273
Anne Bracy	163363
Daniele Peluso	96277
Max Kamenetsky	43057
Jose L. Salmeron	30865
Vicente Acuña	92017
Chi-Wei Lee	59005
Aleksey Pesterev	155165
Olga Vorochek	54979
Sergio Consoli	40537
J. A. B. Floyd	90873
Ayhan Demiriz	39256
Olivier Klopfenstein	141717
Yiu Cho Lau	140509
Haisheng Zhang	65982
Erik Mosekilde	101639
Pascal Glardon	10858
Thilo Schwinn	146618
George Shirreff	103305
April K. Andreas	118917
Ali Khamene	33583
Alex Ishii	118245
Justin Hsia	105506
Jen-Hao Cheng	90126
Ching-Hung Chang	139218
Pierre Landau	42134
Gunnar Karlsson	12723
David J. Holliday	59395
Umberto Amato	114841
Thomas Hennig	113171
Toshiaki Kobayashi	15748
Huei-Hun Tseng	76952
Bruce E. Taillon	105575
Chung-Der Hsiao	76918
Johanna Senatore	8249
Sanza T. Kazadi	36110
Chenn-Jung Huang	69214
Wolfgang Volk	10487
Antonio Díaz Estrella	134151
Patricia A. Carey	98950
Jung Guk Park	67521
Donald A. Adjeroh	79
Nikita Orlov	61239
Philip N. Ji	75254
Slim M'hiri	20255
Sergey Ioffe	33168
Stephen Hagen	51515
Kiyoshi Nishiyama	19465
M. Kloster	79287
Mingjiang Ye	129408
Howard L. Tanenbaum	111777
Xiao Zhou	116963
Marie Ouimet	67715
Ming Wang	109056
Nicolas Halbwachs	74753
Yicheng Liu	57029
Thomas A. Cleland	42205
Predrag B. Rapajic	133087
Jing-Shiuan Hua	52774
Adrianna Wozniak	51219
Wopke van der Werf	105536
Dennis Fetterly	154985
Kunal Talwar	117178
Martin Bader	84702
Javier Tejedor	14171
Peter A. Bengough	159997
Casandra Panea	105644
Claude C. Chibelushi	11525
Julià Urrutia	141929
Trevor I. Dix	96241
Berivan Baskin	92874
Carla Maria Modena	46908
Youngjo Jang	7743
José Santos Reyes	64294
David J. Battle	307
Catherine Rosenberg	124936
Su-Wei Tan	137011
Chung-Yang Chen	150347
Joonwhoan Lee	13021
Koji Hasebe	151922
P. A. Shorey	154532
Jonghyun Park	61682
Akbar Ghaffar Pour Rahbar	129193
Yves Chauvin	68637
Wei-Song Lin	47595
Tomoyuki Satake	16065
Paulo C. M. Gottgtroy	111017
Vaidehi S. Natu	41867
Christian Michel-Sendis	60121
Ravi Mantena	52678
Sungho Hong	68371
Gargi S. Patel	100836
Sunghoon Kim	91496
Ric Wood	43946
Mujtaba R. Ghouse	116504
Damien Vouriot	153761
Hirotsugu Takabatake	114811
Sam H. Noh	134860
Hyunchul Jang	88528
Pavel Gonchukov	139618
Gianfranco Parati	113601
Haris Gacanin	133730
Alberto Belussi	28702
Pilsung Kang	49003
Joël Le Roux	22265
Rui Fang	154030
Pat S. Y. Chan	137255
Dirk VanBruggen	129668
Radhakrishna Nagalla	118205
Cornelius Weber	43153
Arpita Mukherjee	21431
Michael N. Vrahatis	40230
Hung Yuan Hu	145639
Benjamin Kunsberg	105667
C. Arabia-Guidet	15717
Zhaohui Huang	756
Yongwei Wang	72619
Wenhao Zhang	67015
Hong-Ying Zhang	57429
Kurt C. Vercauteren	32557
Anne Wiersma	105346
Olivier Nocent	24077
Saied Abedi	132080
Jerry Li	105229
Vincent W.-S. Feng	136232
Giorgio Fagiolo	111026
Natalia Tarnovitski Freund	84351
Aydin Akan	18150
S. James Press	78955
Miki Tanaka	124341
Dorothea Heiss-Czedik	50933
Genny Tortora	147321
Farzad Moghimi	133936
Sarala M. Wimalaratne	89230
David Phillip Judge	101853
Klaus Prank	68145
Hedvig Tordai	95580
Zachary Friggstad	116029
Tom La Porta	140646
Lakmal D. Seneviratne	43219
Xiaoyuan Su	39337
Youquan Liu	24512
Frits W. Wedman	63787
Miro Kraetzl	44998
Christine Citti	101208
Atsushi Nagoya	61553
Cairong Zhao	67058
Reetal Pai	83652
C. H. Cox III	45388
Tomoko Ohta	54850
Abbas Mohammed	74897
Markus Pizka	152189
Jonathan E. Allen	75911
Takayuki Tachikawa	137037
Rüdiger Reischuk	117372
Giri Kumar Tayi	52968
Susan Landau	75130
Sung-Il Chien	709
Luca Deri	125842
David Vernon	44216
Omar Bouattane	163181
R. P. Winkler	149322
Max Katsev	108879
Benny Sällberg	21908
Brian Osborne	60917
Jeanne Ferrante	154508
Ho Keun Lee	11757
Alexa Sharp	141506
Kenneth A. De Jong	36143
Birgit Guenther	7006
Rich Hilliard	151031
Yasuhiro Miyake	107734
Jan Noyes	70314
Xianglin Wu	4634
Toshio Nakata	141396
Hugues Marchand	121962
Ja Seong Ku	46401
Mansi Arora	106986
Maria Polukarov	123917
Abdel Atrih	100933
Alex Noel Joseph Raj	50236
Heng Huang	40009
D. I. Stuart	78209
Georg Feger	77080
John R. Wallace	23420
Yakun Su	57695
Tat-Ming Lok	64830
Katleen De Preter	93407
Serban Nacu	83486
Grace X. Y. Zheng	93695
Serene Banerjee	3901
Hollis T. Landrum	29654
Jonas Grossmann	84319
Way-Soong Lim	66619
Rodrigo Ventura	65983
Dan Lelescu	10947
Kai Hormann	7420
Oli B. G. Madsen	141526
A. A. Abdel-Hamid	55353
Robin Duque	90212
Mats Gyllenberg	81007
Michael Spratt	127537
Shilang Tang	138220
Peter A. Lindsay	151188
David K. Wilson	116319
Eliezer Dekel	153116
Nguyen T. Thao	2906
Desmond A. Johnston	154539
Johannes C. van Vliet	148168
Yang Cong	13101
S. P. T. Krishnan	96431
Nicolas Liampotis	72969
Henry Rimminen	113495
Smit Shah	156394
Michael M. Cohen	13595
Y. T. Chien	47079
Je-Hyun Baek	102724
Adrian Saftoiu	55075
Rani Hod	117780
Wu Ye	138654
M. Gibson	77764
Masahiko Gondo	107385
Ido Nevat	158267
Xiuzhong Chen	130576
Hongkai Ji	75902
Harris T. Lin	97714
David Pham	157271
Sudeep Singh Walia	150938
Sabrina Liao	72125
Corinne Touati	128044
Lan-Juan Zhao	82611
Shinji Mizuno	23951
Akira Ichikawa	15446
A. Baki Kocaballi	149952
Guy G. Poirier	94212
Seiichi Ozawa	42576
Chris Nelms	144091
Michael E. Schuckers	143247
John Bowers	70519
Blair MacIntyre	73355
André Kündgen	17131
Bert Gyselinckx	158954
Penny J. Davies	114673
Arkadi Talnov	64466
Wolfgang W. Bein	10109
Nir Friedman	34765
Shuang-Hua Yang	138936
Jean-Christophe Hamann	9299
Frutuoso G. M. Silva	26638
John Moriarty	94285
Xiaping Xie	64487
Ashish Jagmohan	11832
Alexandr Goncearenco	96125
Kanji Ueda	27353
Nitin S. Baliga	84646
Jianzhuan Wu	121881
Clarissa Fourie	31306
Irek Defée	18420
Sangsoon Woo	88957
Claude Laurent Benhamou	114613
Min Dong	91991
Isabel M. Tienda-Luna	51163
Xiangyu Chang	109343
Kenneth E. Barner	121
Tinghua Wang	66125
Ana B. Vivas	71206
Andrzej Rysz	65831
Christopher J. Whitaker	39415
Elena O. Budrene	104486
Ravishankar H. Mahadevappa	134126
Célia Nogueira	89042
Vjekoslav Levacic	74097
S. Ganapathy	44924
Myoung-Hee Kim	23367
Charles C. Weems	12614
Sebastian Obermeier	29305
Alberto Izaguirre	74553
Sahin Cem Geyik	73266
Li-Pei Peng	53663
Adam L. Taylor	64641
Lynn Eggli	7094
V. S. Kodogiannis	56104
David Herman	124428
Evan Ribnick	34355
Eray Gençay	139791
John C. Miles	27321
Francisco Escobar	31411
